file,relative_path,column_position,column,dtype,non_null_count,missing_count,missing_rate,unique_count,sample_min,sample_max,possible_date_or_timestamp,timestamp_precision,column_class,data_layer,sample_values
taq.csv,data\raw\taq\taq.csv,47,SumISOValue_m,int64,1000,0,0.0,1,0,0,False,,OTHER,UNCLASSIFIED,0
taq.csv,data\raw\taq\taq.csv,48,NumOddLotTrades_m,int64,1000,0,0.0,1,0,0,False,,OTHER,UNCLASSIFIED,0
taq.csv,data\raw\taq\taq.csv,49,SumOddLotVolume_m,int64,1000,0,0.0,1,0,0,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,0
taq.csv,data\raw\taq\taq.csv,50,SumOddLotValue_m,int64,1000,0,0.0,1,0,0,False,,OTHER,UNCLASSIFIED,0
taq.csv,data\raw\taq\taq.csv,51,NumMixedLotTrades_m,int64,1000,0,0.0,1,0,0,False,,OTHER,UNCLASSIFIED,0
taq.csv,data\raw\taq\taq.csv,52,SumMixedLotVolume_m,int64,1000,0,0.0,1,0,0,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,0
taq.csv,data\raw\taq\taq.csv,53,SumMixedLotValue_m,int64,1000,0,0.0,1,0,0,False,,OTHER,UNCLASSIFIED,0
taq.csv,data\raw\taq\taq.csv,54,BuyNumTrades_LR1,int64,1000,0,0.0,599,38,5209,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,527 | 560 | 401 | 362 | 532 | 675 | 837 | 1420 | 612 | 622
taq.csv,data\raw\taq\taq.csv,55,SellNumTrades_LR1,int64,1000,0,0.0,534,69,5063,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,505 | 362 | 375 | 299 | 412 | 611 | 761 | 400 | 433 | 493
taq.csv,data\raw\taq\taq.csv,56,BuyVol_LR1,int64,1000,0,0.0,957,31800,7177400,False,,TRADE_DIRECTION,DERIVED_OR_AGGREGATED_FIELD,651000 | 816300 | 700800 | 368400 | 649200 | 782100 | 949600 | 2906400 | 846300 | 1054500
