symbol,violation_count,mean_bid_minus_ask,median_bid_minus_ask,max_abs_bid_ask_inversion,quote_set
JNJ,25,0.07960000000000093,0.07000000000000028,0.19000000000000483,last
JPM,55,0.09127272727272732,0.060000000000002274,0.35999999999999943,last
KO,16,0.0625,0.03999999999999915,0.1599999999999966,last
MA,20,0.7580000000000012,0.19000000000001194,3.4299999999999784,last
MS,46,0.0495652173913046,0.03500000000000014,0.23000000000000043,last
PEP,8,0.06750000000000078,0.02499999999999858,0.2600000000000051,last
PFE,23,0.02913043478260877,0.019999999999999574,0.09999999999999787,last
UNH,14,0.03928571428571459,0.02500000000000213,0.15000000000000568,last
V,48,0.2558333333333332,0.07000000000000739,2.769999999999996,last
WFC,54,0.07611111111111094,0.029999999999998472,0.5100000000000016,last
WMT,37,0.041081081081081355,0.020000000000003126,0.20000000000000284,last
XOM,69,0.06782608695652245,0.03999999999999204,0.35999999999999943,last
